text,punct,symb,tokenized,nonstop,stemmed,polarity,subjectivity,sentiment,neg,neu,pos,compound
"#zelensky: behind all these geopolitical speculations of those who advise ukraine to give away something to russia,… https://t.co/imrrtxindo",zelensky behind all these geopolitical speculations of those who advise ukraine to give away something to russia… httpstcoimrrtxindo,#zelensky: behind all these geopolitical speculations of those who advise ukraine to give away something to russia … https://t.co/imrrtxindo,"['zelensky', 'behind', 'all', 'these', 'geopolitical', 'speculations', 'of', 'those', 'who', 'advise', 'ukraine', 'to', 'give', 'away', 'something', 'to', 'russia', 'httpstcoimrrtxindo']","['zelensky', 'behind', 'geopolitical', 'speculations', 'advise', 'ukraine', 'give', 'away', 'something', 'russia', 'httpstcoimrrtxindo']","['zelenski', 'behind', 'geopolit', 'specul', 'advis', 'ukrain', 'give', 'away', 'someth', 'russia', 'httpstcoimrrtxindo']",-0.4,0.7,,,,,
"ben grant fights in the international legion of ukraine.
#supportukraine #russiaukrainewar #ukrainestrong https://t.co/owoinz4pjw","ben grant fights in the international legion of ukraine
supportukraine russiaukrainewar ukrainestrong httpstcoowoinz4pjw","ben grant fights in the international legion of ukraine.
#supportukraine #russiaukrainewar #ukrainestrong https://t.co/owoinz4pjw","['ben', 'grant', 'fights', 'in', 'the', 'international', 'legion', 'of', 'ukraine', 'supportukraine', 'russiaukrainewar', 'ukrainestrong', 'httpstcoowoinz4pjw']","['ben', 'grant', 'fights', 'international', 'legion', 'ukraine', 'supportukraine', 'russiaukrainewar', 'ukrainestrong', 'httpstcoowoinz4pjw']","['ben', 'grant', 'fight', 'intern', 'legion', 'ukrain', 'supportukrain', 'russiaukrainewar', 'ukrainestrong', 'httpstcoowoinz4pjw']",0.0,0.0,,,,,
"#russiaukrainewar yes, the ukraine war could have been prevented
“in so many ways canada has provoked this conflict… https://t.co/hqkibcgc1q","russiaukrainewar yes the ukraine war could have been prevented
“in so many ways canada has provoked this conflict… httpstcohqkibcgc1q","#russiaukrainewar yes  the ukraine war could have been prevented
“in so many ways canada has provoked this conflict… https://t.co/hqkibcgc1q","['russiaukrainewar', 'yes', 'the', 'ukraine', 'war', 'could', 'have', 'been', 'prevented', 'in', 'so', 'many', 'ways', 'canada', 'has', 'provoked', 'this', 'conflict', 'httpstcohqkibcgc1q']","['russiaukrainewar', 'yes', 'ukraine', 'war', 'could', 'prevented', 'many', 'ways', 'canada', 'provoked', 'conflict', 'httpstcohqkibcgc1q']","['russiaukrainewar', 'ye', 'ukrain', 'war', 'could', 'prevent', 'mani', 'way', 'canada', 'provok', 'conflict', 'httpstcohqkibcgc1q']",0.5,0.5,,,,,
" just for us to remember: today is the 94th day of #russiaukrainewar. 
the words' author ilona skala.
the video's author…"," just for us to remember today is the 4th day of russiaukrainewar 
the words author ilona skala
the videos author…"," just for us to remember: today is the 94th day of #russiaukrainewar. 
the words' author ilona skala.
the video's author…","['', 'just', 'for', 'us', 'to', 'remember', 'today', 'is', 'the', '4th', 'day', 'of', 'russiaukrainewar', 'the', 'words', 'author', 'ilona', 'skala', 'the', 'videos', 'author', '']","['', 'us', 'remember', 'today', '4th', 'day', 'russiaukrainewar', 'words', 'author', 'ilona', 'skala', 'videos', 'author', '']","['', 'us', 'rememb', 'today', '4th', 'day', 'russiaukrainewar', 'word', 'author', 'ilona', 'skala', 'video', 'author', '']",0.0,0.0,,,,,
do you mf russia apologists still believe in the “liberation” ? this is how russian terrorists are “liberating” !!!… https://t.co/hq47wg62xu,do you mf russia apologists still believe in the “liberation”  this is how russian terrorists are “liberating” … httpstcohq47wg62xu,do you mf russia apologists still believe in the “liberation” ? this is how russian terrorists are “liberating”  … https://t.co/hq47wg62xu,"['do', 'you', 'mf', 'russia', 'apologists', 'still', 'believe', 'in', 'the', 'liberation', 'this', 'is', 'how', 'russian', 'terrorists', 'are', 'liberating', 'httpstcohq47wg62xu']","['mf', 'russia', 'apologists', 'still', 'believe', 'liberation', 'russian', 'terrorists', 'liberating', 'httpstcohq47wg62xu']","['mf', 'russia', 'apologist', 'still', 'believ', 'liber', 'russian', 'terrorist', 'liber', 'httpstcohq47wg62xu']",0.0,0.0,,,,,
 watch western #sanctions on russia boomerang: a global #energy and #food crisis in the making via @forbes https://t.co/pe…, watch western sanctions on russia boomerang a global energy and food crisis in the making via forbes httpstcope…, watch western #sanctions on russia boomerang: a global #energy and #food crisis in the making via  forbes https://t.co/pe…,"['', 'watch', 'western', 'sanctions', 'on', 'russia', 'boomerang', 'a', 'global', 'energy', 'and', 'food', 'crisis', 'in', 'the', 'making', 'via', 'forbes', 'httpstcope', '']","['', 'watch', 'western', 'sanctions', 'russia', 'boomerang', 'global', 'energy', 'food', 'crisis', 'making', 'via', 'forbes', 'httpstcope', '']","['', 'watch', 'western', 'sanction', 'russia', 'boomerang', 'global', 'energi', 'food', 'crisi', 'make', 'via', 'forb', 'httpstcope', '']",0.0,0.0,,,,,
" ben grant fights in the international legion of ukraine.
#supportukraine #russiaukrainewar #ukrainestrong https://t.co/…"," ben grant fights in the international legion of ukraine
supportukraine russiaukrainewar ukrainestrong httpstco…"," ben grant fights in the international legion of ukraine.
#supportukraine #russiaukrainewar #ukrainestrong https://t.co/…","['', 'ben', 'grant', 'fights', 'in', 'the', 'international', 'legion', 'of', 'ukraine', 'supportukraine', 'russiaukrainewar', 'ukrainestrong', 'httpstco', '']","['', 'ben', 'grant', 'fights', 'international', 'legion', 'ukraine', 'supportukraine', 'russiaukrainewar', 'ukrainestrong', 'httpstco', '']","['', 'ben', 'grant', 'fight', 'intern', 'legion', 'ukrain', 'supportukrain', 'russiaukrainewar', 'ukrainestrong', 'httpstco', '']",0.0,0.0,,,,,
"thousands of people went out to the streets to pay their last respect to the fallen 🇺🇦defenders
#ukraine… https://t.co/bvhe4xkaee","thousands of people went out to the streets to pay their last respect to the fallen 🇺🇦defenders
ukraine… httpstcobvhe4xkaee","thousands of people went out to the streets to pay their last respect to the fallen 🇺🇦defenders
#ukraine… https://t.co/bvhe4xkaee","['thousands', 'of', 'people', 'went', 'out', 'to', 'the', 'streets', 'to', 'pay', 'their', 'last', 'respect', 'to', 'the', 'fallen', 'defenders', 'ukraine', 'httpstcobvhe4xkaee']","['thousands', 'people', 'went', 'streets', 'pay', 'last', 'respect', 'fallen', 'defenders', 'ukraine', 'httpstcobvhe4xkaee']","['thousand', 'peopl', 'went', 'street', 'pay', 'last', 'respect', 'fallen', 'defend', 'ukrain', 'httpstcobvhe4xkae']",0.0,0.06666666666666667,,,,,
video released by russian media of a temporary helicopter base and flight activity near/over eastern ukraine.… https://t.co/bctyfxai1e,video released by russian media of a temporary helicopter base and flight activity nearover eastern ukraine… httpstcobctyfxai1e,video released by russian media of a temporary helicopter base and flight activity near/over eastern ukraine.… https://t.co/bctyfxai1e,"['video', 'released', 'by', 'russian', 'media', 'of', 'a', 'temporary', 'helicopter', 'base', 'and', 'flight', 'activity', 'nearover', 'eastern', 'ukraine', 'httpstcobctyfxai1e']","['video', 'released', 'russian', 'media', 'temporary', 'helicopter', 'base', 'flight', 'activity', 'nearover', 'eastern', 'ukraine', 'httpstcobctyfxai1e']","['video', 'releas', 'russian', 'media', 'temporari', 'helicopt', 'base', 'flight', 'activ', 'nearov', 'eastern', 'ukrain', 'httpstcobctyfxai1']",-0.4,0.5,,,,,
"ben grant fights in the international legion of ukraine.
#supportukraine #russiaukrainewar #ukrainestrong https://t.co/pbkxuh01em","ben grant fights in the international legion of ukraine
supportukraine russiaukrainewar ukrainestrong httpstcopbkxuh1em","ben grant fights in the international legion of ukraine.
#supportukraine #russiaukrainewar #ukrainestrong https://t.co/pbkxuh01em","['ben', 'grant', 'fights', 'in', 'the', 'international', 'legion', 'of', 'ukraine', 'supportukraine', 'russiaukrainewar', 'ukrainestrong', 'httpstcopbkxuh1em']","['ben', 'grant', 'fights', 'international', 'legion', 'ukraine', 'supportukraine', 'russiaukrainewar', 'ukrainestrong', 'httpstcopbkxuh1em']","['ben', 'grant', 'fight', 'intern', 'legion', 'ukrain', 'supportukrain', 'russiaukrainewar', 'ukrainestrong', 'httpstcopbkxuh1em']",0.0,0.0,,,,,
"sri lanka will pay $72.6 million to buy 90,000 tonnes of russian oil

#srilankacrisis #srilankaeconomiccrisis… https://t.co/lctgzrbmsv","sri lanka will pay 726 million to buy  tonnes of russian oil

srilankacrisis srilankaeconomiccrisis… httpstcolctgzrbmsv","sri lanka will pay $72.6 million to buy 90 000 tonnes of russian oil

#srilankacrisis #srilankaeconomiccrisis… https://t.co/lctgzrbmsv","['sri', 'lanka', 'will', 'pay', '726', 'million', 'to', 'buy', 'tonnes', 'of', 'russian', 'oil', 'srilankacrisis', 'srilankaeconomiccrisis', 'httpstcolctgzrbmsv']","['sri', 'lanka', 'pay', '726', 'million', 'buy', 'tonnes', 'russian', 'oil', 'srilankacrisis', 'srilankaeconomiccrisis', 'httpstcolctgzrbmsv']","['sri', 'lanka', 'pay', '726', 'million', 'buy', 'tonn', 'russian', 'oil', 'srilankacrisi', 'srilankaeconomiccrisi', 'httpstcolctgzrbmsv']",0.0,0.0,,,,,
"ukrainians pay last respect to the fallen 🇺🇦defenders 
#ukraine
#ukrainewar #ukrainerussianwar #russiaukrainewar… https://t.co/bg6mmfefpt","ukrainians pay last respect to the fallen 🇺🇦defenders 
ukraine
ukrainewar ukrainerussianwar russiaukrainewar… httpstcobg6mmfefpt","ukrainians pay last respect to the fallen 🇺🇦defenders 
#ukraine
#ukrainewar #ukrainerussianwar #russiaukrainewar… https://t.co/bg6mmfefpt","['ukrainians', 'pay', 'last', 'respect', 'to', 'the', 'fallen', 'defenders', 'ukraine', 'ukrainewar', 'ukrainerussianwar', 'russiaukrainewar', 'httpstcobg6mmfefpt']","['ukrainians', 'pay', 'last', 'respect', 'fallen', 'defenders', 'ukraine', 'ukrainewar', 'ukrainerussianwar', 'russiaukrainewar', 'httpstcobg6mmfefpt']","['ukrainian', 'pay', 'last', 'respect', 'fallen', 'defend', 'ukrain', 'ukrainewar', 'ukrainerussianwar', 'russiaukrainewar', 'httpstcobg6mmfefpt']",0.0,0.06666666666666667,,,,,
"long range missiles are needed to cut down russian supply lines and stop russian's invasion!
#longrangemissiles… https://t.co/ct5mvkqyyx","long range missiles are needed to cut down russian supply lines and stop russians invasion
longrangemissiles… httpstcoct5mvkqyyx","long range missiles are needed to cut down russian supply lines and stop russian's invasion 
#longrangemissiles… https://t.co/ct5mvkqyyx","['long', 'range', 'missiles', 'are', 'needed', 'to', 'cut', 'down', 'russian', 'supply', 'lines', 'and', 'stop', 'russians', 'invasion', 'longrangemissiles', 'httpstcoct5mvkqyyx']","['long', 'range', 'missiles', 'needed', 'cut', 'russian', 'supply', 'lines', 'stop', 'russians', 'invasion', 'longrangemissiles', 'httpstcoct5mvkqyyx']","['long', 'rang', 'missil', 'need', 'cut', 'russian', 'suppli', 'line', 'stop', 'russian', 'invas', 'longrangemissil', 'httpstcoct5mvkqyyx']",-0.0513888888888889,0.17222222222222222,,,,,
 this is interesting as per tass news agency russian military has been using su-57 fighters during the #russiaukrainewar.…, this is interesting as per tass news agency russian military has been using su57 fighters during the russiaukrainewar…, this is interesting as per tass news agency russian military has been using su 57 fighters during the #russiaukrainewar.…,"['', 'this', 'is', 'interesting', 'as', 'per', 'tass', 'news', 'agency', 'russian', 'military', 'has', 'been', 'using', 'su57', 'fighters', 'during', 'the', 'russiaukrainewar', '']","['', 'interesting', 'per', 'tass', 'news', 'agency', 'russian', 'military', 'using', 'su57', 'fighters', 'russiaukrainewar', '']","['', 'interest', 'per', 'tass', 'news', 'agenc', 'russian', 'militari', 'use', 'su57', 'fighter', 'russiaukrainewar', '']",0.13333333333333333,0.19999999999999998,,,,,
 russia is finally defeating ukraine. and all the military weapons that america and nathan is giving them will not stop them fro…, russia is finally defeating ukraine and all the military weapons that america and nathan is giving them will not stop them fro…, russia is finally defeating ukraine. and all the military weapons that america and nathan is giving them will not stop them fro…,"['', 'russia', 'is', 'finally', 'defeating', 'ukraine', 'and', 'all', 'the', 'military', 'weapons', 'that', 'america', 'and', 'nathan', 'is', 'giving', 'them', 'will', 'not', 'stop', 'them', 'fro', '']","['', 'russia', 'finally', 'defeating', 'ukraine', 'military', 'weapons', 'america', 'nathan', 'giving', 'stop', 'fro', '']","['', 'russia', 'final', 'defeat', 'ukrain', 'militari', 'weapon', 'america', 'nathan', 'give', 'stop', 'fro', '']",-0.05,0.55,,,,,
" frames from the combat zone, reflecting the skill of the ukrainian military.
#armukrainenow #ukrainestrong #russiaukrai…"," frames from the combat zone reflecting the skill of the ukrainian military
armukrainenow ukrainestrong russiaukrai…"," frames from the combat zone  reflecting the skill of the ukrainian military.
#armukrainenow #ukrainestrong #russiaukrai…","['', 'frames', 'from', 'the', 'combat', 'zone', 'reflecting', 'the', 'skill', 'of', 'the', 'ukrainian', 'military', 'armukrainenow', 'ukrainestrong', 'russiaukrai', '']","['', 'frames', 'combat', 'zone', 'reflecting', 'skill', 'ukrainian', 'military', 'armukrainenow', 'ukrainestrong', 'russiaukrai', '']","['', 'frame', 'combat', 'zone', 'reflect', 'skill', 'ukrainian', 'militari', 'armukrainenow', 'ukrainestrong', 'russiaukrai', '']",-0.1,0.1,,,,,
"this seems fun. 😂😂 #shorts https://t.co/1f8dc4u0ch

#ukrainewar #ww3 #russiaukrainewar

https://t.co/nexs4wmyfg","this seems fun 😂😂 shorts httpstco1f8dc4uch

ukrainewar ww3 russiaukrainewar

httpstconexs4wmyfg","this seems fun. 😂😂 #shorts https://t.co/1f8dc4u0ch

#ukrainewar #ww3 #russiaukrainewar

https://t.co/nexs4wmyfg","['this', 'seems', 'fun', 'shorts', 'httpstco1f8dc4uch', 'ukrainewar', 'ww3', 'russiaukrainewar', 'httpstconexs4wmyfg']","['seems', 'fun', 'shorts', 'httpstco1f8dc4uch', 'ukrainewar', 'ww3', 'russiaukrainewar', 'httpstconexs4wmyfg']","['seem', 'fun', 'short', 'httpstco1f8dc4uch', 'ukrainewar', 'ww3', 'russiaukrainewar', 'httpstconexs4wmyfg']",0.3,0.2,,,,,
"#russian #airforce #major general #kanamatbotashev was shot out of the #sky over the #lugansk #region, marking the… https://t.co/vv1jrjetgr",russian airforce major general kanamatbotashev was shot out of the sky over the lugansk region marking the… httpstcovv1jrjetgr,#russian #airforce #major general #kanamatbotashev was shot out of the #sky over the #lugansk #region  marking the… https://t.co/vv1jrjetgr,"['russian', 'airforce', 'major', 'general', 'kanamatbotashev', 'was', 'shot', 'out', 'of', 'the', 'sky', 'over', 'the', 'lugansk', 'region', 'marking', 'the', 'httpstcovv1jrjetgr']","['russian', 'airforce', 'major', 'general', 'kanamatbotashev', 'shot', 'sky', 'lugansk', 'region', 'marking', 'httpstcovv1jrjetgr']","['russian', 'airforc', 'major', 'gener', 'kanamatbotashev', 'shot', 'sky', 'lugansk', 'region', 'mark', 'httpstcovv1jrjetgr']",0.037500000000000006,0.3333333333333333,,,,,
this might be a good time for an update to avalon hill’s the russian campaign. #russiaukrainewar,this might be a good time for an update to avalon hill’s the russian campaign russiaukrainewar,this might be a good time for an update to avalon hill’s the russian campaign. #russiaukrainewar,"['this', 'might', 'be', 'a', 'good', 'time', 'for', 'an', 'update', 'to', 'avalon', 'hill', 's', 'the', 'russian', 'campaign', 'russiaukrainewar']","['might', 'good', 'time', 'update', 'avalon', 'hill', 'russian', 'campaign', 'russiaukrainewar']","['might', 'good', 'time', 'updat', 'avalon', 'hill', 'russian', 'campaign', 'russiaukrainewar']",0.35,0.30000000000000004,,,,,
" #ukrainewillwin  
but the price of victory is growing every hour... because  94 days in #russiaukrainewar - the fourth p…"," ukrainewillwin  
but the price of victory is growing every hour because  4 days in russiaukrainewar  the fourth p…"," #ukrainewillwin  
but the price of victory is growing every hour... because  94 days in #russiaukrainewar   the fourth p…","['', 'ukrainewillwin', 'but', 'the', 'price', 'of', 'victory', 'is', 'growing', 'every', 'hour', 'because', '4', 'days', 'in', 'russiaukrainewar', 'the', 'fourth', 'p', '']","['', 'ukrainewillwin', 'price', 'victory', 'growing', 'every', 'hour', '4', 'days', 'russiaukrainewar', 'fourth', 'p', '']","['', 'ukrainewillwin', 'price', 'victori', 'grow', 'everi', 'hour', '4', 'day', 'russiaukrainewar', 'fourth', 'p', '']",0.0,0.0,,,,,
"and now it is east of okinawa. https://t.co/bvk1pgeday https://t.co/orywqdbqhe

 https://t.co/lcaqovckdm… https://t.co/bhgijcuxdo","and now it is east of okinawa httpstcobvk1pgeday httpstcoorywqdbqhe

 httpstcolcaqovckdm… httpstcobhgijcuxdo","and now it is east of okinawa. https://t.co/bvk1pgeday https://t.co/orywqdbqhe

 https://t.co/lcaqovckdm… https://t.co/bhgijcuxdo","['and', 'now', 'it', 'is', 'east', 'of', 'okinawa', 'httpstcobvk1pgeday', 'httpstcoorywqdbqhe', 'httpstcolcaqovckdm', 'httpstcobhgijcuxdo']","['east', 'okinawa', 'httpstcobvk1pgeday', 'httpstcoorywqdbqhe', 'httpstcolcaqovckdm', 'httpstcobhgijcuxdo']","['east', 'okinawa', 'httpstcobvk1pgeday', 'httpstcoorywqdbqh', 'httpstcolcaqovckdm', 'httpstcobhgijcuxdo']",0.0,0.0,,,,,
what's up with the redundancy with some of the mil flights right now? 🤔 https://t.co/1mwkkbti4b… https://t.co/kyozbq8tat,whats up with the redundancy with some of the mil flights right now 🤔 httpstco1mwkkbti4b… httpstcokyozbq8tat,what's up with the redundancy with some of the mil flights right now? 🤔 https://t.co/1mwkkbti4b… https://t.co/kyozbq8tat,"['whats', 'up', 'with', 'the', 'redundancy', 'with', 'some', 'of', 'the', 'mil', 'flights', 'right', 'now', 'httpstco1mwkkbti4b', 'httpstcokyozbq8tat']","['whats', 'redundancy', 'mil', 'flights', 'right', 'httpstco1mwkkbti4b', 'httpstcokyozbq8tat']","['what', 'redund', 'mil', 'flight', 'right', 'httpstco1mwkkbti4b', 'httpstcokyozbq8tat']",0.2857142857142857,0.5357142857142857,,,,,
" ✅ su-25 assault planes and mi-17 helicopters were disassembled in europe and delivered to ukraine

https://t.co/ei73schfpw…"," ✅ su25 assault planes and mi17 helicopters were disassembled in europe and delivered to ukraine

httpstcoei73schfpw…"," ✅ su 25 assault planes and mi 17 helicopters were disassembled in europe and delivered to ukraine

https://t.co/ei73schfpw…","['', 'su25', 'assault', 'planes', 'and', 'mi17', 'helicopters', 'were', 'disassembled', 'in', 'europe', 'and', 'delivered', 'to', 'ukraine', 'httpstcoei73schfpw', '']","['', 'su25', 'assault', 'planes', 'mi17', 'helicopters', 'disassembled', 'europe', 'delivered', 'ukraine', 'httpstcoei73schfpw', '']","['', 'su25', 'assault', 'plane', 'mi17', 'helicopt', 'disassembl', 'europ', 'deliv', 'ukrain', 'httpstcoei73schfpw', '']",0.0,0.0,,,,,
" #davos2022 | as the world reels under the impact of #russiaukrainewar, what is the way forward? @shereenbhan talks to @pi…", davos222  as the world reels under the impact of russiaukrainewar what is the way forward shereenbhan talks to pi…, #davos2022 | as the world reels under the impact of #russiaukrainewar  what is the way forward?  shereenbhan talks to  pi…,"['', 'davos222', 'as', 'the', 'world', 'reels', 'under', 'the', 'impact', 'of', 'russiaukrainewar', 'what', 'is', 'the', 'way', 'forward', 'shereenbhan', 'talks', 'to', 'pi', '']","['', 'davos222', 'world', 'reels', 'impact', 'russiaukrainewar', 'way', 'forward', 'shereenbhan', 'talks', 'pi', '']","['', 'davos222', 'world', 'reel', 'impact', 'russiaukrainewar', 'way', 'forward', 'shereenbhan', 'talk', 'pi', '']",0.0,0.0,,,,,
